I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39,I40,I41,I42,I43,I44,I45,I46,I47,I48,I49,I50,I51,I52,I53,I54,I55,I56,I57,I58,I59,I60,I61,I62,I63,I64,I65,I66,I67,I68,I69,I70,I71,I72,I73,I74
0.000000,0.003135,0.001943,0.000331,0.116860,0.145437,-0.026738,-0.096608,0.073061,0.001782,0.001042,0.000336,0.012154,0.030398,0.008474,0.021987,0.078875,0.003203,0.001140,0.000000,0.025128,0.086855,0.003428,0.000000,0.000000,0.008780,0.001789,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.653387,-0.175271,-5.535245,-0.418143,0.000026,1.259745,-21.438066,-21.438066,0.022246,-0.049020,1.259745,9.914280,1.000115,-5.535245,-31.283684,-0.801045,0.000000,6.417015,0.000003,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019991,0.019116,-0.000617,-0.365495,0.000000,1.096070,0.930813,0.000000,-2.792603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003138,0.001943,0.000331,0.116862,0.145434,-0.011641,-0.095595,0.073061,0.001782,0.001042,0.000336,0.012154,0.030398,-0.011210,0.017726,0.078744,0.003202,0.001140,0.000000,0.025129,0.086855,0.005573,0.000000,0.000000,0.008779,0.001789,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.649930,-0.175272,-5.477186,-0.369023,0.000095,1.015626,-21.447750,-21.447750,0.046923,2.317888,1.015626,-13.115156,-0.689298,-5.477186,-13.619837,-1.304276,0.000000,10.432958,0.000002,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019991,0.019116,-0.000617,-0.365652,0.000000,1.095450,0.930752,0.000000,-2.792847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003139,0.001942,0.000331,0.116866,0.145430,-0.033918,-0.096291,0.073061,0.001782,0.001042,0.000336,0.012154,0.030398,0.000632,0.019208,0.078744,0.003202,0.001140,0.000000,0.025129,0.086855,-0.001942,0.000000,0.000000,0.008779,0.001789,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.646841,-0.175272,-5.517059,-0.370888,0.000078,1.100549,-21.440046,-21.440046,-0.030587,0.408743,1.100549,0.738868,1.515436,-5.517059,-39.683556,0.457580,0.000000,-3.636316,-0.000002,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019991,0.019116,-0.000617,-0.365527,0.000000,1.095339,0.930801,0.000000,-2.792890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003139,0.001942,0.000331,0.116869,0.145427,-0.038009,-0.095844,0.073061,0.001782,0.001042,0.000336,0.012154,0.030398,0.024306,0.017223,0.078744,0.003202,0.001140,0.000000,0.025129,0.086855,0.002006,0.000000,0.000000,0.008778,0.001789,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.665647,-0.175273,-5.491471,-0.322974,-0.000006,0.986780,-21.444210,-21.444210,0.049906,-1.322152,0.986780,28.437653,0.396109,-5.491471,-44.470993,-0.473571,0.000000,3.756114,0.000000,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019991,0.019116,-0.000617,-0.365595,0.000000,1.096881,0.930774,0.000000,-2.792284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003143,0.001942,0.000331,0.116871,0.145424,-0.021584,-0.095089,0.073061,0.001782,0.001042,0.000336,0.012154,0.030398,0.009764,0.017046,0.078831,0.003202,0.001140,0.000000,0.025129,0.086854,-0.001333,0.000000,0.000000,0.008777,0.001789,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.654352,-0.175273,-5.448181,-0.312418,-0.000079,0.976646,-21.513590,-21.513590,-0.027084,-0.960326,0.976646,11.423441,-0.734120,-5.448181,-25.253363,0.312660,0.000000,-2.495015,0.000003,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019991,0.019116,-0.000617,0.000000,0.000000,1.101431,0.000000,0.000000,-2.790493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003144,0.001942,0.000331,0.116873,0.145422,-0.009084,-0.084645,0.073248,0.001782,0.001042,0.000336,0.012154,0.030398,0.009333,0.015749,0.078831,0.003202,0.001140,0.000000,0.025129,0.086854,0.002097,0.000000,0.000000,0.008776,0.001789,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.611398,0.000000,-4.849796,-0.294551,0.000000,0.902351,-21.598642,-21.598642,0.009251,-0.544652,0.902351,10.919689,-0.432901,-4.849796,-10.628257,-0.490113,0.000000,3.926332,0.000003,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019992,0.019116,-0.000617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003140,0.001942,0.000331,0.116878,0.145418,-0.016602,-0.088718,0.073467,0.001782,0.001042,0.000337,0.012154,0.030398,-0.017436,0.018084,0.078561,0.003201,0.001140,0.000000,0.025129,0.086854,0.005530,0.000000,0.000000,0.008776,0.001789,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.671221,0.000000,-5.083141,-0.347229,0.000000,1.036142,-21.518141,-21.518141,0.051934,1.213671,1.036142,-20.400301,1.001398,-5.083141,-19.423908,-1.295374,0.000000,10.352969,-0.000007,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019991,0.019116,-0.000617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003142,0.001942,0.000331,0.116879,0.145414,-0.024888,-0.086651,0.073467,0.001782,0.001042,0.000337,0.012154,0.030398,-0.014402,0.014616,0.078430,0.003201,0.001140,0.000000,0.025129,0.086853,0.008110,0.000000,0.000000,0.008775,0.001789,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.666644,0.000000,-4.964755,-0.301522,0.000000,0.837429,-21.522633,-21.522633,0.040068,2.028786,0.837429,-16.850586,-0.266613,-4.964755,-29.119205,-1.894331,0.000000,15.181746,0.000000,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019991,0.019116,-0.000617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003142,0.001942,0.000331,0.116881,0.145411,-0.002103,-0.087836,0.073467,0.001782,0.001042,0.000337,0.012154,0.030398,0.003582,0.011759,0.078430,0.003201,0.001140,0.000000,0.025129,0.086853,-0.008916,0.000000,0.000000,0.008774,0.001789,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.687404,0.000000,-5.032640,-0.243236,0.000000,0.673721,-21.562243,-21.562243,-0.073396,0.972870,0.673721,4.190819,-1.525532,-5.032640,-2.460766,2.086366,0.000000,-16.689913,0.000000,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019991,0.019116,-0.000617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003143,0.001942,0.000331,0.116885,0.145408,-0.036747,-0.086168,0.073881,0.001782,0.001042,0.000337,0.012155,0.030398,0.011171,0.011222,0.078466,0.003199,0.001140,0.000000,0.025129,0.086853,0.002138,0.000000,0.000000,0.008773,0.001789,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.639946,0.000000,-4.937053,-0.216199,0.000000,0.642998,-21.591475,-21.591475,0.008721,-0.250078,0.642998,13.069784,0.926562,-4.937053,-42.994301,-0.500180,0.000000,4.002211,0.000007,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019992,0.019116,-0.000617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
