t_s,frame,key,value
0.1178,A,mrac.pitch.e,0.089029312
0.1178,A,mrac.pitch.u_ad,-0.15909733
0.1178,A,mrac.roll.e,-0.063771561
0.1178,A,mrac.roll.u_ad,0.1531668
0.1178,A,mrac.yaw.e,0.0097667743
0.1178,A,mrac.yaw.u_ad,0.08426901
0.1178,A,mrac.z.e,0
0.1178,A,mrac.z.u_ad,0
0.1178,A,status.arm,0
0.1178,A,status.estimator_ready,1
0.1178,A,status.flymode,1
0.1178,A,status.of_hold,0
0.1178,A,status.rc_authority,0
0.1178,A,status.sbus_lost,0
0.1178,A,status.twc_arrived,0
0.1178,A,status.twc_execute,0
0.1178,B,mrac.pitch.theta_0,-0.14835708
0.1178,B,mrac.pitch.theta_1,0.0058955499
0.1178,B,mrac.pitch.theta_2,4.0931351e-08
0.1178,B,mrac.pitch.theta_3,9.5774943e-05
0.1178,B,mrac.pitch.theta_4,0.053491905
0.1178,B,mrac.pitch.theta_5,0.14462335
0.1178,B,mrac.pitch.u_nom,-0.011621883
0.1178,B,mrac.pitch.xm,-0.066372909
0.1178,B,mrac.roll.theta_0,0.1482569
0.1178,B,mrac.roll.theta_1,0.0051471433
0.1178,B,mrac.roll.theta_2,0.00019856927
0.1178,B,mrac.roll.theta_3,8.9136542e-05
0.1178,B,mrac.roll.theta_4,0.042136777
0.1178,B,mrac.roll.theta_5,0.14155136
0.1178,B,mrac.roll.u_nom,0.022599848
0.1178,B,mrac.roll.xm,0.030671326
0.1178,B,mrac.yaw.theta_0,0.084266141
0.1178,B,mrac.yaw.theta_1,0.0035770005
0.1178,B,mrac.yaw.theta_2,0.00029799598
0.1178,B,mrac.yaw.theta_3,0
0.1178,B,mrac.yaw.theta_4,0.067948818
0.1178,B,mrac.yaw.theta_5,0.089290626
0.1178,B,mrac.yaw.u_nom,0.0027175839
0.1178,B,mrac.yaw.xm,0.00023278734
0.1178,B,mrac.z.theta_0,0
0.1178,B,mrac.z.theta_1,0
0.1178,B,mrac.z.theta_2,0
0.1178,B,mrac.z.theta_3,0
0.1178,B,mrac.z.theta_4,0
0.1178,B,mrac.z.theta_5,0
0.1178,B,mrac.z.u_nom,0
0.1178,B,mrac.z.xm,0
0.1178,B,path.active_path_mode,0
0.1178,B,path.circle_theta,0
