t_s,frame,key,value
0.1314,A,mrac.pitch.e,0.1853787
0.1314,A,mrac.pitch.u_ad,-0.018168168
0.1314,A,mrac.roll.e,0.037379131
0.1314,A,mrac.roll.u_ad,0.033632714
0.1314,A,mrac.yaw.e,0.064831801
0.1314,A,mrac.yaw.u_ad,-0.0073423199
0.1314,A,mrac.z.e,0.066447616
0.1314,A,mrac.z.u_ad,-0.034665801
0.1314,A,status.arm,1
0.1314,A,status.flymode,1
0.1314,A,status.rc_authority,0
0.1314,A,status.sbus_lost,0
0.1314,A,status.twc_arrived,0
0.1314,A,status.twc_execute,0
0.3316,A,mrac.pitch.e,0.1853787
0.3316,A,mrac.pitch.u_ad,-0.018168168
0.3316,A,mrac.roll.e,0.037379131
0.3316,A,mrac.roll.u_ad,0.033632714
0.3316,A,mrac.yaw.e,0.064831801
0.3316,A,mrac.yaw.u_ad,-0.0073423199
0.3316,A,mrac.z.e,0.066447616
0.3316,A,mrac.z.u_ad,-0.034665801
0.3316,A,status.arm,1
0.3316,A,status.flymode,1
0.3316,A,status.rc_authority,0
0.3316,A,status.sbus_lost,0
0.3316,A,status.twc_arrived,0
0.3316,A,status.twc_execute,0
0.5318,A,mrac.pitch.e,0.1853787
0.5318,A,mrac.pitch.u_ad,-0.018168168
0.5318,A,mrac.roll.e,0.037379131
0.5318,A,mrac.roll.u_ad,0.033632714
0.5318,A,mrac.yaw.e,0.064831801
0.5318,A,mrac.yaw.u_ad,-0.0073423199
0.5318,A,mrac.z.e,0.066447616
0.5318,A,mrac.z.u_ad,-0.034665801
0.5318,A,status.arm,1
0.5318,A,status.flymode,1
0.5318,A,status.rc_authority,0
0.5318,A,status.sbus_lost,0
0.5318,A,status.twc_arrived,0
0.5318,A,status.twc_execute,0
0.7493,A,mrac.pitch.e,0.1853787
0.7493,A,mrac.pitch.u_ad,-0.018168168
0.7493,A,mrac.roll.e,0.037379131
0.7493,A,mrac.roll.u_ad,0.033632714
0.7493,A,mrac.yaw.e,0.064831801
0.7493,A,mrac.yaw.u_ad,-0.0073423199
0.7493,A,mrac.z.e,0.066447616
0.7493,A,mrac.z.u_ad,-0.034665801
0.7493,A,status.arm,1
0.7493,A,status.flymode,1
0.7493,A,status.rc_authority,0
0.7493,A,status.sbus_lost,0
0.7493,A,status.twc_arrived,0
0.7493,A,status.twc_execute,0
0.9493,A,mrac.pitch.e,0.1853787
0.9493,A,mrac.pitch.u_ad,-0.018168168
0.9493,A,mrac.roll.e,0.037379131
0.9493,A,mrac.roll.u_ad,0.033632714
0.9493,A,mrac.yaw.e,0.064831801
0.9493,A,mrac.yaw.u_ad,-0.0073423199
0.9493,A,mrac.z.e,0.066447616
0.9493,A,mrac.z.u_ad,-0.034665801
0.9493,A,status.arm,1
0.9493,A,status.flymode,1
0.9493,A,status.rc_authority,0
0.9493,A,status.sbus_lost,0
0.9493,A,status.twc_arrived,0
0.9493,A,status.twc_execute,0
1.1497,A,mrac.pitch.e,0.1853787
1.1497,A,mrac.pitch.u_ad,-0.018168168
1.1497,A,mrac.roll.e,0.037379131
1.1497,A,mrac.roll.u_ad,0.033632714
1.1497,A,mrac.yaw.e,0.064831801
1.1497,A,mrac.yaw.u_ad,-0.0073423199
1.1497,A,mrac.z.e,0.066447616
1.1497,A,mrac.z.u_ad,-0.034665801
1.1497,A,status.arm,1
1.1497,A,status.flymode,1
1.1497,A,status.rc_authority,0
1.1497,A,status.sbus_lost,0
1.1497,A,status.twc_arrived,0
1.1497,A,status.twc_execute,0
1.3498,A,mrac.pitch.e,0.1853787
1.3498,A,mrac.pitch.u_ad,-0.018168168
1.3498,A,mrac.roll.e,0.037379131
1.3498,A,mrac.roll.u_ad,0.033632714
1.3498,A,mrac.yaw.e,0.064831801
1.3498,A,mrac.yaw.u_ad,-0.0073423199
1.3498,A,mrac.z.e,0.066447616
1.3498,A,mrac.z.u_ad,-0.034665801
1.3498,A,status.arm,1
1.3498,A,status.flymode,1
1.3498,A,status.rc_authority,0
1.3498,A,status.sbus_lost,0
1.3498,A,status.twc_arrived,0
1.3498,A,status.twc_execute,0
1.5651,A,mrac.pitch.e,0.15432362
1.5651,A,mrac.pitch.u_ad,-0.0092138033
1.5651,A,mrac.roll.e,0.19572671
1.5651,A,mrac.roll.u_ad,-0.02519137
1.5651,A,mrac.yaw.e,0.28758535
1.5651,A,mrac.yaw.u_ad,0.0058391998
1.5651,A,mrac.z.e,0.11191686
1.5651,A,mrac.z.u_ad,-0.065858729
1.5651,A,status.arm,1
1.5651,A,status.flymode,1
1.5651,A,status.rc_authority,0
1.5651,A,status.sbus_lost,0
1.5651,A,status.twc_arrived,0
1.5651,A,status.twc_execute,0
1.7654,A,mrac.pitch.e,-0.079173341
1.7654,A,mrac.pitch.u_ad,0.024812896
1.7654,A,mrac.roll.e,0.18471958
1.7654,A,mrac.roll.u_ad,-0.02464154
1.7654,A,mrac.yaw.e,0.17141902
