t_s,frame,key,value
0.1994,A,mrac.pitch.e,0.56068254
0.1994,A,mrac.pitch.u_ad,0.045056038
0.1994,A,mrac.roll.e,-0.20009422
0.1994,A,mrac.roll.u_ad,-0.031143036
0.1994,A,mrac.yaw.e,0.086116463
0.1994,A,mrac.yaw.u_ad,-0.0024894355
0.1994,A,mrac.z.e,0.57643002
0.1994,A,mrac.z.u_ad,-0.32426429
0.1994,A,status.arm,1
0.1994,A,status.flymode,1
0.1994,A,status.rc_authority,0
0.1994,A,status.sbus_lost,0
0.1994,A,status.twc_arrived,0
0.1994,A,status.twc_execute,0
0.4157,A,mrac.pitch.e,-0.64142323
0.4157,A,mrac.pitch.u_ad,0.033350058
0.4157,A,mrac.roll.e,0.56976354
0.4157,A,mrac.roll.u_ad,-0.0065222904
0.4157,A,mrac.yaw.e,0.23760962
0.4157,A,mrac.yaw.u_ad,-0.011294915
0.4157,A,mrac.z.e,0.58201915
0.4157,A,mrac.z.u_ad,-0.32667816
0.4157,A,status.arm,1
0.4157,A,status.flymode,1
0.4157,A,status.rc_authority,0
0.4157,A,status.sbus_lost,0
0.4157,A,status.twc_arrived,0
0.4157,A,status.twc_execute,0
0.6181,A,mrac.pitch.e,0.013273656
0.6181,A,mrac.pitch.u_ad,-0.081308685
0.6181,A,mrac.roll.e,0.39759144
0.6181,A,mrac.roll.u_ad,0.077792875
0.6181,A,mrac.yaw.e,0.12641761
0.6181,A,mrac.yaw.u_ad,-0.011852045
0.6181,A,mrac.z.e,0.28565222
0.6181,A,mrac.z.u_ad,-0.21129256
0.6181,A,status.arm,1
0.6181,A,status.flymode,1
0.6181,A,status.rc_authority,0
0.6181,A,status.sbus_lost,0
0.6181,A,status.twc_arrived,0
0.6181,A,status.twc_execute,0
0.8318,A,mrac.pitch.e,-0.51068652
0.8318,A,mrac.pitch.u_ad,0.0019994564
0.8318,A,mrac.roll.e,0.88353008
0.8318,A,mrac.roll.u_ad,0.018787839
0.8318,A,mrac.yaw.e,0.010468878
0.8318,A,mrac.yaw.u_ad,-0.0093957214
0.8318,A,mrac.z.e,0.13684735
0.8318,A,mrac.z.u_ad,-0.14047369
0.8318,A,status.arm,1
0.8318,A,status.flymode,1
0.8318,A,status.rc_authority,0
0.8318,A,status.sbus_lost,0
0.8318,A,status.twc_arrived,0
0.8318,A,status.twc_execute,0
1.0514,A,mrac.pitch.e,0.084751874
1.0514,A,mrac.pitch.u_ad,-0.017292943
1.0514,A,mrac.roll.e,-0.10146438
1.0514,A,mrac.roll.u_ad,0.045675717
1.0514,A,mrac.yaw.e,0.046879172
1.0514,A,mrac.yaw.u_ad,-0.0081715034
1.0514,A,mrac.z.e,0.53141785
1.0514,A,mrac.z.u_ad,-0.27943116
1.0514,A,status.arm,1
1.0514,A,status.flymode,1
1.0514,A,status.rc_authority,0
1.0514,A,status.sbus_lost,0
1.0514,A,status.twc_arrived,0
1.0514,A,status.twc_execute,0
1.2652,A,mrac.pitch.e,0.43646201
1.2652,A,mrac.pitch.u_ad,-0.045075357
1.2652,A,mrac.roll.e,-0.14017312
1.2652,A,mrac.roll.u_ad,0.03896495
1.2652,A,mrac.yaw.e,0.10369708
1.2652,A,mrac.yaw.u_ad,-0.0076928367
1.2652,A,mrac.z.e,0.30025107
1.2652,A,mrac.z.u_ad,-0.19903862
1.2652,A,status.arm,1
1.2652,A,status.flymode,1
1.2652,A,status.rc_authority,0
1.2652,A,status.sbus_lost,0
1.2652,A,status.twc_arrived,0
1.2652,A,status.twc_execute,0
1.4665,A,mrac.pitch.e,0.46661225
1.4665,A,mrac.pitch.u_ad,-0.045096602
1.4665,A,mrac.roll.e,-0.21978295
1.4665,A,mrac.roll.u_ad,0.040404048
1.4665,A,mrac.yaw.e,0.086862266
1.4665,A,mrac.yaw.u_ad,-0.007795047
1.4665,A,mrac.z.e,0.11675283
1.4665,A,mrac.z.u_ad,-0.12607329
1.4665,A,status.arm,1
1.4665,A,status.flymode,1
1.4665,A,status.rc_authority,0
1.4665,A,status.sbus_lost,0
1.4665,A,status.twc_arrived,0
1.4665,A,status.twc_execute,0
1.6657,A,mrac.pitch.e,0.1164161
1.6657,A,mrac.pitch.u_ad,0.0014661103
1.6657,A,mrac.roll.e,0.1516656
1.6657,A,mrac.roll.u_ad,0.0026158225
1.6657,A,mrac.yaw.e,0.14500794
1.6657,A,mrac.yaw.u_ad,-0.0099008242
1.6657,A,mrac.z.e,0.26842597
1.6657,A,mrac.z.u_ad,-0.17677814
1.6657,A,status.arm,1
1.6657,A,status.flymode,1
1.6657,A,status.rc_authority,0
1.6657,A,status.sbus_lost,0
1.6657,A,status.twc_arrived,0
1.6657,A,status.twc_execute,0
1.8655,A,mrac.pitch.e,0.087693781
1.8655,A,mrac.pitch.u_ad,-0.0085737593
1.8655,A,mrac.roll.e,-0.012557685
1.8655,A,mrac.roll.u_ad,0.012182693
1.8655,A,mrac.yaw.e,0.026987143
1.8655,A,mrac.yaw.u_ad,-0.0092031388
1.8655,A,mrac.z.e,0.20991796
1.8655,A,mrac.z.u_ad,-0.15283976
1.8655,A,status.arm,1
1.8655,A,status.flymode,1
1.8655,A,status.rc_authority,0
1.8655,A,status.sbus_lost,0
1.8655,A,status.twc_arrived,0
1.8655,A,status.twc_execute,0
2.0675,A,mrac.pitch.e,-0.039543845
2.0675,A,mrac.pitch.u_ad,0.0051000491
2.0675,A,mrac.roll.e,0.17611714
2.0675,A,mrac.roll.u_ad,0.0085130297
2.0675,A,mrac.yaw.e,0.1047705
2.0675,A,mrac.yaw.u_ad,-0.0081013804
2.0675,A,mrac.z.e,0.12450266
2.0675,A,mrac.z.u_ad,-0.12251506
2.0675,A,status.arm,1
2.0675,A,status.flymode,1
2.0675,A,status.rc_authority,0
2.0675,A,status.sbus_lost,0
2.0675,A,status.twc_arrived,0
2.0675,A,status.twc_execute,0
2.2656,A,mrac.pitch.e,0.082043588
2.2656,A,mrac.pitch.u_ad,-0.0073506013
2.2656,A,mrac.roll.e,-0.043539423
2.2656,A,mrac.roll.u_ad,0.031992931
2.2656,A,mrac.yaw.e,0.060114976
2.2656,A,mrac.yaw.u_ad,-0.010322733
2.2656,A,mrac.z.e,0.16666588
2.2656,A,mrac.z.u_ad,-0.13169652
2.2656,A,status.arm,1
2.2656,A,status.flymode,1
2.2656,A,status.rc_authority,0
2.2656,A,status.sbus_lost,0
2.2656,A,status.twc_arrived,0
2.2656,A,status.twc_execute,0
2.4681,A,mrac.pitch.e,0.10930502
2.4681,A,mrac.pitch.u_ad,-0.021608744
2.4681,A,mrac.roll.e,-0.18412516
2.4681,A,mrac.roll.u_ad,0.047215588
2.4681,A,mrac.yaw.e,0.11970776
2.4681,A,mrac.yaw.u_ad,-0.011510561
2.4681,A,mrac.z.e,0.082240969
2.4681,A,mrac.z.u_ad,-0.10005598
2.4681,A,status.arm,1
2.4681,A,status.flymode,1
2.4681,A,status.rc_authority,0
2.4681,A,status.sbus_lost,0
2.4681,A,status.twc_arrived,0
2.4681,A,status.twc_execute,0
2.6839,A,mrac.pitch.e,0.16827819
2.6839,A,mrac.pitch.u_ad,-0.029778786
2.6839,A,mrac.roll.e,-0.33819512
2.6839,A,mrac.roll.u_ad,0.04492249
2.6839,A,mrac.yaw.e,0.094402961
2.6839,A,mrac.yaw.u_ad,-0.0091917459
2.6839,A,mrac.z.e,0.30926704
2.6839,A,mrac.z.u_ad,-0.17823845
2.6839,A,status.arm,1
2.6839,A,status.flymode,1
2.6839,A,status.rc_authority,0
2.6839,A,status.sbus_lost,0
2.6839,A,status.twc_arrived,0
2.6839,A,status.twc_execute,0
2.8862,A,mrac.pitch.e,0.11047155
2.8862,A,mrac.pitch.u_ad,-0.027666245
2.8862,A,mrac.roll.e,0.049280286
2.8862,A,mrac.roll.u_ad,0.016563285
2.8862,A,mrac.yaw.e,0.055286303
2.8862,A,mrac.yaw.u_ad,-0.010547801
2.8862,A,mrac.z.e,0.23994899
2.8862,A,mrac.z.u_ad,-0.15180382
2.8862,A,status.arm,1
2.8862,A,status.flymode,1
2.8862,A,status.rc_authority,0
2.8862,A,status.sbus_lost,0
2.8862,A,status.twc_arrived,0
2.8862,A,status.twc_execute,0
3.0845,A,mrac.pitch.e,0.12792997
3.0845,A,mrac.pitch.u_ad,-0.030253965
3.0845,A,mrac.roll.e,0.10661999
3.0845,A,mrac.roll.u_ad,0.015091027
3.0845,A,mrac.yaw.e,0.16777124
3.0845,A,mrac.yaw.u_ad,-0.0097468458
3.0845,A,mrac.z.e,0.079124242
3.0845,A,mrac.z.u_ad,-0.095391676
3.0845,A,status.arm,1
3.0845,A,status.flymode,1
3.0845,A,status.rc_authority,0
3.0845,A,status.sbus_lost,0
3.0845,A,status.twc_arrived,0
3.0845,A,status.twc_execute,0
3.2847,A,mrac.pitch.e,0.12792997
3.2847,A,mrac.pitch.u_ad,-0.030253965
3.2847,A,mrac.roll.e,0.10661999
3.2847,A,mrac.roll.u_ad,0.015091027
3.2847,A,mrac.yaw.e,0.16777124
3.2847,A,mrac.yaw.u_ad,-0.0097468458
3.2847,A,mrac.z.e,0.079124242
3.2847,A,mrac.z.u_ad,-0.095391676
3.2847,A,status.arm,1
3.2847,A,status.flymode,1
3.2847,A,status.rc_authority,0
3.2847,A,status.sbus_lost,0
3.2847,A,status.twc_arrived,0
3.2847,A,status.twc_execute,0
3.4996,A,mrac.pitch.e,0.12675971
3.4996,A,mrac.pitch.u_ad,-0.022251304
3.4996,A,mrac.roll.e,-0.25851247
3.4996,A,mrac.roll.u_ad,0.04649315
3.4996,A,mrac.yaw.e,0.043485321
3.4996,A,mrac.yaw.u_ad,-0.0089505352
3.4996,A,mrac.z.e,0.22018917
3.4996,A,mrac.z.u_ad,-0.14409943
3.4996,A,status.arm,1
3.4996,A,status.flymode,1
3.4996,A,status.rc_authority,0
3.4996,A,status.sbus_lost,0
3.4996,A,status.twc_arrived,0
3.4996,A,status.twc_execute,0
3.7005,A,mrac.pitch.e,0.28174168
3.7005,A,mrac.pitch.u_ad,-0.035103794
3.7005,A,mrac.roll.e,0.041052919
3.7005,A,mrac.roll.u_ad,0.016599642
3.7005,A,mrac.yaw.e,0.13141601
3.7005,A,mrac.yaw.u_ad,-0.010569707
3.7005,A,mrac.z.e,0.27265686
3.7005,A,mrac.z.u_ad,-0.16058621
3.7005,A,status.arm,1
3.7005,A,status.flymode,1
3.7005,A,status.rc_authority,0
3.7005,A,status.sbus_lost,0
3.7005,A,status.twc_arrived,0
3.7005,A,status.twc_execute,0
3.9191,A,mrac.pitch.e,0.017128877
3.9191,A,mrac.pitch.u_ad,-0.0069101332
3.9191,A,mrac.roll.e,0.30275661
3.9191,A,mrac.roll.u_ad,0.008269826
3.9191,A,mrac.yaw.e,0.15431893
3.9191,A,mrac.yaw.u_ad,-0.010380229
3.9191,A,mrac.z.e,0.28165868
3.9191,A,mrac.z.u_ad,-0.16368823
3.9191,A,status.arm,1
3.9191,A,status.flymode,1
3.9191,A,status.rc_authority,0
3.9191,A,status.sbus_lost,0
3.9191,A,status.twc_arrived,0
3.9191,A,status.twc_execute,0
4.1181,A,mrac.pitch.e,-0.013808027
4.1181,A,mrac.pitch.u_ad,-0.020379387
4.1181,A,mrac.roll.e,-0.14420852
4.1181,A,mrac.roll.u_ad,0.022731917
4.1181,A,mrac.yaw.e,-0.11852095
4.1181,A,mrac.yaw.u_ad,-0.0053658169
4.1181,A,mrac.z.e,0.48302805
4.1181,A,mrac.z.u_ad,-0.23413312
4.1181,A,status.arm,1
4.1181,A,status.flymode,1
4.1181,A,status.rc_authority,0
4.1181,A,status.sbus_lost,0
4.1181,A,status.twc_arrived,0
