t_s,frame,key,value
0.1447,A,mrac.pitch.e,-0.029009089
0.1447,A,mrac.pitch.u_ad,0.036172144
0.1447,A,mrac.roll.e,0.32567605
0.1447,A,mrac.roll.u_ad,-0.038723089
0.1447,A,mrac.yaw.e,0.3001253
0.1447,A,mrac.yaw.u_ad,-0.018177044
0.1447,A,mrac.z.e,-0.032750599
0.1447,A,mrac.z.u_ad,0.92799157
0.1447,A,status.arm,1
0.1447,A,status.flymode,1
0.1447,A,status.rc_authority,0
0.1447,A,status.sbus_lost,0
0.1447,A,status.twc_arrived,0
0.1447,A,status.twc_execute,0
0.1448,B,mrac.pitch.theta_0,0.0022816011
0.1448,B,mrac.pitch.theta_1,0.004184104
0.1448,B,mrac.pitch.theta_2,0.0003397227
0.1448,B,mrac.pitch.theta_3,0.010761858
0.1448,B,mrac.pitch.theta_4,0.18994883
0.1448,B,mrac.pitch.theta_5,0.14735654
0.1448,B,mrac.pitch.u_nom,0.25641027
0.1448,B,mrac.pitch.xm,1.0203382
0.1448,B,mrac.roll.theta_0,0.026205551
0.1448,B,mrac.roll.theta_1,0.00019691998
0.1448,B,mrac.roll.theta_2,0.017081093
0.1448,B,mrac.roll.theta_3,0.0071758092
0.1448,B,mrac.roll.theta_4,0.19312678
0.1448,B,mrac.roll.theta_5,0.14376126
0.1448,B,mrac.roll.u_nom,-0.25641027
0.1448,B,mrac.roll.xm,-0.74753261
0.1448,B,mrac.yaw.theta_0,0.00015331134
0.1448,B,mrac.yaw.theta_1,0.015309046
0.1448,B,mrac.yaw.theta_2,0.0043825461
0.1448,B,mrac.yaw.theta_3,0
0.1448,B,mrac.yaw.theta_4,0.11513992
0.1448,B,mrac.yaw.theta_5,0.086237945
0.1448,B,mrac.yaw.u_nom,-0.041879352
0.1448,B,mrac.yaw.xm,-0.12962508
0.1448,B,mrac.z.theta_0,0.89877838
0.1448,B,mrac.z.theta_1,0.00080542266
0.1448,B,mrac.z.theta_2,0.0079898071
0.1448,B,mrac.z.theta_3,0
0.1448,B,mrac.z.theta_4,0.1978289
0.1448,B,mrac.z.theta_5,0.17942692
0.1448,B,mrac.z.u_nom,0.12073973
0.1448,B,mrac.z.xm,0.03310499
0.1448,B,path.active_path_mode,2
0.1448,B,path.circle_theta,0
0.1448,B,path.sinusoid_t_elapsed,0.015
0.1448,B,path.twc_arrived,0
0.1448,B,path.twc_target_x,-29.999998
0.1448,B,path.twc_target_y,-50
0.1448,B,path.twc_target_z,0.5
0.1448,B,pid.gyrox.Des,-42.830444
0.1448,B,pid.gyrox.FB,6.2629933
0.1448,B,pid.gyrox.U,-300
0.1448,B,pid.gyroy.Des,58.461048
0.1448,B,pid.gyroy.FB,2.8833277
0.1448,B,pid.gyroy.U,300
0.1448,B,pid.gyroz.Des,-7.4269671
0.1448,B,pid.gyroz.FB,2.1249735
0.1448,B,pid.gyroz.U,-78.398148
0.1448,B,pid.locx.Des,0.31415692
0.1448,B,pid.locx.FB,-51.055897
0.1448,B,pid.locx.U,93.096039
0.1448,B,pid.locxs.Des,93.096039
0.1448,B,pid.locxs.FB,-3.9679303
0.1448,B,pid.locxs.U,391.19193
0.1448,B,pid.locy.Des,0
0.1448,B,pid.locy.FB,-23.260942
0.1448,B,pid.locy.U,66.841362
0.1448,B,pid.locys.Des,66.841362
0.1448,B,pid.locys.FB,2.0628939
0.1448,B,pid.locys.U,294.33539
0.1448,B,pid.pitch.Des,15
0.1448,B,pid.pitch.FB,-1.1536835
0.1448,B,pid.pitch.U,58.461048
0.1448,B,pid.roll.Des,-15
0.1448,B,pid.roll.FB,-4.0565186
0.1448,B,pid.roll.U,-42.830444
0.1448,B,pid.yaw.Des,0
0.1448,B,pid.yaw.FB,0.90449452
0.1448,B,pid.yaw.U,-7.4269671
0.1448,B,pid.z_pos.Des,0.5
0.1448,B,pid.z_pos.FB,0.50861919
0.1448,B,pid.z_pos.U,0.03310499
0.1448,B,pid.z_rate.Des,0.03310499
0.1448,B,pid.z_rate.FB,-0.0012805605
0.1448,B,pid.z_rate.U,26.80422
0.1448,B,status.vbat,0
0.3609,A,mrac.pitch.e,-0.029009089
0.3609,A,mrac.pitch.u_ad,0.036172144
0.3609,A,mrac.roll.e,0.32567605
0.3609,A,mrac.roll.u_ad,-0.038723089
0.3609,A,mrac.yaw.e,0.3001253
0.3609,A,mrac.yaw.u_ad,-0.018177044
0.3609,A,mrac.z.e,-0.032750599
0.3609,A,mrac.z.u_ad,0.92799157
0.3609,A,status.arm,1
0.3609,A,status.flymode,1
0.3609,A,status.rc_authority,0
0.3609,A,status.sbus_lost,0
0.3609,A,status.twc_arrived,0
0.3609,A,status.twc_execute,0
0.3609,B,mrac.pitch.theta_0,0.0022816011
0.3609,B,mrac.pitch.theta_1,0.004184104
0.3609,B,mrac.pitch.theta_2,0.0003397227
0.3609,B,mrac.pitch.theta_3,0.010761858
0.3609,B,mrac.pitch.theta_4,0.18994883
0.3609,B,mrac.pitch.theta_5,0.14735654
0.3609,B,mrac.pitch.u_nom,0.25641027
0.3609,B,mrac.pitch.xm,1.0203382
0.3609,B,mrac.roll.theta_0,0.026205551
0.3609,B,mrac.roll.theta_1,0.00019691998
0.3609,B,mrac.roll.theta_2,0.017081093
0.3609,B,mrac.roll.theta_3,0.0071758092
0.3609,B,mrac.roll.theta_4,0.19312678
0.3609,B,mrac.roll.theta_5,0.14376126
0.3609,B,mrac.roll.u_nom,-0.25641027
0.3609,B,mrac.roll.xm,-0.74753261
0.3609,B,mrac.yaw.theta_0,0.00015331134
0.3609,B,mrac.yaw.theta_1,0.015309046
0.3609,B,mrac.yaw.theta_2,0.0043825461
0.3609,B,mrac.yaw.theta_3,0
0.3609,B,mrac.yaw.theta_4,0.11513992
0.3609,B,mrac.yaw.theta_5,0.086237945
0.3609,B,mrac.yaw.u_nom,-0.041879352
0.3609,B,mrac.yaw.xm,-0.12962508
0.3609,B,mrac.z.theta_0,0.89877838
0.3609,B,mrac.z.theta_1,0.00080542266
0.3609,B,mrac.z.theta_2,0.0079898071
0.3609,B,mrac.z.theta_3,0
0.3609,B,mrac.z.theta_4,0.1978289
0.3609,B,mrac.z.theta_5,0.17942692
0.3609,B,mrac.z.u_nom,0.12073973
0.3609,B,mrac.z.xm,0.03310499
0.3609,B,path.active_path_mode,2
0.3609,B,path.circle_theta,0
0.3609,B,path.sinusoid_t_elapsed,0.015
0.3609,B,path.twc_arrived,0
0.3609,B,path.twc_target_x,-29.999998
0.3609,B,path.twc_target_y,-50
0.3609,B,path.twc_target_z,0.5
0.3609,B,pid.gyrox.Des,-42.830444
0.3609,B,pid.gyrox.FB,6.2629933
0.3609,B,pid.gyrox.U,-300
0.3609,B,pid.gyroy.Des,58.461048
0.3609,B,pid.gyroy.FB,2.8833277
0.3609,B,pid.gyroy.U,300
0.3609,B,pid.gyroz.Des,-7.4269671
0.3609,B,pid.gyroz.FB,2.1249735
0.3609,B,pid.gyroz.U,-78.398148
0.3609,B,pid.locx.Des,0.31415692
0.3609,B,pid.locx.FB,-51.055897
0.3609,B,pid.locx.U,93.096039
0.3609,B,pid.locxs.Des,93.096039
0.3609,B,pid.locxs.FB,-3.9679303
0.3609,B,pid.locxs.U,391.19193
0.3609,B,pid.locy.Des,0
0.3609,B,pid.locy.FB,-23.260942
0.3609,B,pid.locy.U,66.841362
0.3609,B,pid.locys.Des,66.841362
0.3609,B,pid.locys.FB,2.0628939
0.3609,B,pid.locys.U,294.33539
0.3609,B,pid.pitch.Des,15
0.3609,B,pid.pitch.FB,-1.1536835
0.3609,B,pid.pitch.U,58.461048
0.3609,B,pid.roll.Des,-15
0.3609,B,pid.roll.FB,-4.0565186
0.3609,B,pid.roll.U,-42.830444
0.3609,B,pid.yaw.Des,0
0.3609,B,pid.yaw.FB,0.90449452
0.3609,B,pid.yaw.U,-7.4269671
0.3609,B,pid.z_pos.Des,0.5
0.3609,B,pid.z_pos.FB,0.50861919
0.3609,B,pid.z_pos.U,0.03310499
0.3609,B,pid.z_rate.Des,0.03310499
0.3609,B,pid.z_rate.FB,-0.0012805605
0.3609,B,pid.z_rate.U,26.80422
0.3609,B,status.vbat,0
0.5605,A,mrac.pitch.e,0.017748073
0.5605,A,mrac.pitch.u_ad,-4.0140003e-06
0.5605,A,mrac.roll.e,0.21221693
0.5605,A,mrac.roll.u_ad,-0.0063452683
0.5605,A,mrac.yaw.e,0.26282519
0.5605,A,mrac.yaw.u_ad,-0.022758186
0.5605,A,mrac.z.e,-0.024587715
0.5605,A,mrac.z.u_ad,0.91190457
0.5605,A,status.arm,1
0.5605,A,status.flymode,1
0.5605,A,status.rc_authority,0
0.5605,A,status.sbus_lost,0
0.5605,A,status.twc_arrived,0
0.5605,A,status.twc_execute,0
0.5605,B,mrac.pitch.theta_0,0.0013402291
0.5605,B,mrac.pitch.theta_1,0.0029089907
0.5605,B,mrac.pitch.theta_2,0.00030309419
0.5605,B,mrac.pitch.theta_3,0.010782721
0.5605,B,mrac.pitch.theta_4,0.19001235
0.5605,B,mrac.pitch.theta_5,0.14715669
0.5605,B,mrac.pitch.u_nom,0.0076221041
0.5605,B,mrac.pitch.xm,-0.20943639
0.5605,B,mrac.roll.theta_0,0.041603766
0.5605,B,mrac.roll.theta_1,0.00028166865
0.5605,B,mrac.roll.theta_2,0.017202487
0.5605,B,mrac.roll.theta_3,0.0071912929
0.5605,B,mrac.roll.theta_4,0.19313118
0.5605,B,mrac.roll.theta_5,0.14368853
0.5605,B,mrac.roll.u_nom,-0.026121834
0.5605,B,mrac.roll.xm,0.0055782013
0.5605,B,mrac.yaw.theta_0,1.482458e-05
0.5605,B,mrac.yaw.theta_1,0.015076141
0.5605,B,mrac.yaw.theta_2,0.0043679746
0.5605,B,mrac.yaw.theta_3,0
0.5605,B,mrac.yaw.theta_4,0.1151384
0.5605,B,mrac.yaw.theta_5,0.086342648
0.5605,B,mrac.yaw.u_nom,-0.036577538
0.5605,B,mrac.yaw.xm,-0.19000424
0.5605,B,mrac.z.theta_0,0.88859761
0.5605,B,mrac.z.theta_1,0.0007924586
0.5605,B,mrac.z.theta_2,0.0079819737
0.5605,B,mrac.z.theta_3,0
0.5605,B,mrac.z.theta_4,0.19781785
0.5605,B,mrac.z.theta_5,0.17938821
0.5605,B,mrac.z.u_nom,0.10371269
0.5605,B,mrac.z.xm,0.017769888
0.5605,B,path.active_path_mode,2
0.5605,B,path.circle_theta,0
0.5605,B,path.sinusoid_t_elapsed,0.42999974
0.5605,B,path.twc_arrived,0
0.5605,B,path.twc_target_x,-29.999998
