t_s,frame,key,value
0.1267,A,mrac.pitch.e,0.10165834
0.1267,A,mrac.pitch.u_ad,-0.017383855
0.1267,A,mrac.roll.e,-0.052703846
0.1267,A,mrac.roll.u_ad,0.029105492
0.1267,A,mrac.yaw.e,0.038187429
0.1267,A,mrac.yaw.u_ad,-0.0015193231
0.1267,A,mrac.z.e,-0.0077369926
0.1267,A,mrac.z.u_ad,0.838516
0.1267,A,status.arm,1
0.1267,A,status.flymode,1
0.1267,A,status.rc_authority,0
0.1267,A,status.sbus_lost,0
0.1267,A,status.twc_arrived,0
0.1267,A,status.twc_execute,1
0.1267,B,mrac.pitch.theta_0,2.1260148e-19
0.1267,B,mrac.pitch.theta_1,0.0051206076
0.1267,B,mrac.pitch.theta_2,0.00036604947
0.1267,B,mrac.pitch.theta_3,0.010995305
0.1267,B,mrac.pitch.theta_4,0.19380267
0.1267,B,mrac.pitch.theta_5,0.14791517
0.1267,B,mrac.pitch.u_nom,-0.04472065
0.1267,B,mrac.pitch.xm,-0.18106148
0.1267,B,mrac.roll.theta_0,0.023179326
0.1267,B,mrac.roll.theta_1,0.001393923
0.1267,B,mrac.roll.theta_2,0.017741542
0.1267,B,mrac.roll.theta_3,0.0072143157
0.1267,B,mrac.roll.theta_4,0.19471891
0.1267,B,mrac.roll.theta_5,0.14687856
0.1267,B,mrac.roll.u_nom,-0.0056667328
0.1267,B,mrac.roll.xm,-0.012337087
0.1267,B,mrac.yaw.theta_0,0.0026300885
0.1267,B,mrac.yaw.theta_1,0.018696481
0.1267,B,mrac.yaw.theta_2,0.0045127803
0.1267,B,mrac.yaw.theta_3,0
0.1267,B,mrac.yaw.theta_4,0.11638802
0.1267,B,mrac.yaw.theta_5,0.085757457
0.1267,B,mrac.yaw.u_nom,-0.019457811
0.1267,B,mrac.yaw.xm,-0.030026274
0.1267,B,mrac.z.theta_0,0.82333928
0.1267,B,mrac.z.theta_1,0.0024893372
0.1267,B,mrac.z.theta_2,0.0078571066
0.1267,B,mrac.z.theta_3,0
0.1267,B,mrac.z.theta_4,0.19850194
0.1267,B,mrac.z.theta_5,0.18054435
0.1267,B,mrac.z.u_nom,0.029759528
0.1267,B,mrac.z.xm,0.015842505
0.1267,B,path.active_path_mode,1
0.1267,B,path.circle_theta,0
0.1267,B,path.sinusoid_t_elapsed,5.1200695
0.1267,B,path.twc_arrived,0
0.1267,B,path.twc_target_x,0
0.1267,B,path.twc_target_y,-0
0.1267,B,path.twc_target_z,0.5
0.1267,B,pid.gyrox.Des,-0.70686269
0.1267,B,pid.gyrox.FB,-2.2614431
0.1267,B,pid.gyrox.U,-6.6300774
0.1267,B,pid.gyroy.Des,-10.374054
0.1267,B,pid.gyroy.FB,4.47579
0.1267,B,pid.gyroy.U,-52.323162
0.1267,B,pid.gyroz.Des,-1.720378
0.1267,B,pid.gyroz.FB,2.5790474
0.1267,B,pid.gyroz.U,-36.425022
0.1267,B,pid.locx.Des,0
0.1267,B,pid.locx.FB,-13.903084
0.1267,B,pid.locx.U,13.158434
0.1267,B,pid.locxs.Des,13.158434
0.1267,B,pid.locxs.FB,-0.99798328
0.1267,B,pid.locxs.U,42.518303
0.1267,B,pid.locy.Des,-0
0.1267,B,pid.locy.FB,21.628538
0.1267,B,pid.locy.U,-19.338865
0.1267,B,pid.locys.Des,-19.338865
0.1267,B,pid.locys.FB,2.0010071
0.1267,B,pid.locys.U,-64.067108
0.1267,B,pid.pitch.Des,-3.7327092
0.1267,B,pid.pitch.FB,-0.39062625
0.1267,B,pid.pitch.U,-10.374054
0.1267,B,pid.roll.Des,-2.4863045
0.1267,B,pid.roll.FB,-2.1551871
0.1267,B,pid.roll.U,-0.70686269
0.1267,B,pid.yaw.Des,0
0.1267,B,pid.yaw.FB,0.057759643
0.1267,B,pid.yaw.U,-1.720378
0.1267,B,pid.z_pos.Des,0.5
0.1267,B,pid.z_pos.FB,0.56958354
0.1267,B,pid.z_pos.U,0.015842505
0.1267,B,pid.z_rate.Des,0.015842505
0.1267,B,pid.z_rate.FB,0.027162297
0.1267,B,pid.z_rate.U,6.6066151
0.1267,B,status.vbat,0
0.3274,A,mrac.pitch.e,0.76715231
0.3274,A,mrac.pitch.u_ad,-0.12904352
0.3274,A,mrac.roll.e,0.11493029
0.3274,A,mrac.roll.u_ad,0.0059221103
0.3274,A,mrac.yaw.e,0.040119559
0.3274,A,mrac.yaw.u_ad,-0.0023494489
0.3274,A,mrac.z.e,-0.055190839
0.3274,A,mrac.z.u_ad,0.86501044
0.3274,A,status.arm,1
0.3274,A,status.flymode,1
0.3274,A,status.rc_authority,1
0.3274,A,status.sbus_lost,0
0.3274,A,status.twc_arrived,0
0.3274,A,status.twc_execute,1
0.3275,B,mrac.pitch.theta_0,0.00027712306
0.3275,B,mrac.pitch.theta_1,0.0051459721
0.3275,B,mrac.pitch.theta_2,0.00036485359
0.3275,B,mrac.pitch.theta_3,0.010988749
0.3275,B,mrac.pitch.theta_4,0.19366817
0.3275,B,mrac.pitch.theta_5,0.14791228
0.3275,B,mrac.pitch.u_nom,0.026366241
0.3275,B,mrac.pitch.xm,-0.33670238
0.3275,B,mrac.roll.theta_0,0.02389922
0.3275,B,mrac.roll.theta_1,0.0013186031
0.3275,B,mrac.roll.theta_2,0.017734846
0.3275,B,mrac.roll.theta_3,0.0072128237
0.3275,B,mrac.roll.theta_4,0.19467007
0.3275,B,mrac.roll.theta_5,0.14681138
