t_s,frame,key,value
0.1466,A,mrac.pitch.e,0.25177795
0.1466,A,mrac.pitch.u_ad,-0.035844319
0.1466,A,mrac.roll.e,-0.0276675
0.1466,A,mrac.roll.u_ad,0.15340863
0.1466,A,mrac.yaw.e,0.069573775
0.1466,A,mrac.yaw.u_ad,-0.0072974619
0.1466,A,mrac.z.e,0.067431301
0.1466,A,mrac.z.u_ad,-0.10575693
0.1466,A,status.arm,1
0.1466,A,status.flymode,1
0.1466,A,status.rc_authority,0
0.1466,A,status.sbus_lost,0
0.1466,A,status.twc_arrived,0
0.1466,A,status.twc_execute,0
0.1467,B,mrac.pitch.theta_0,3.2129873e-28
0.1467,B,mrac.pitch.theta_1,0.0029820504
0.1467,B,mrac.pitch.theta_2,0.0015531378
0.1467,B,mrac.pitch.theta_3,0.0018884352
0.1467,B,mrac.pitch.theta_4,0.13565922
0.1467,B,mrac.pitch.theta_5,0.14556363
0.1467,B,mrac.pitch.u_nom,-0.14425777
0.1467,B,mrac.pitch.xm,-0.18634985
0.1467,B,mrac.roll.theta_0,0.14672565
0.1467,B,mrac.roll.theta_1,0.00066205329
0.1467,B,mrac.roll.theta_2,0.0041113179
0.1467,B,mrac.roll.theta_3,0.001378459
0.1467,B,mrac.roll.theta_4,0.058234569
0.1467,B,mrac.roll.theta_5,0.075683668
0.1467,B,mrac.roll.u_nom,0.07319238
0.1467,B,mrac.roll.xm,0.070076413
0.1467,B,mrac.yaw.theta_0,1.6815582e-44
0.1467,B,mrac.yaw.theta_1,0.00236534
0.1467,B,mrac.yaw.theta_2,0.00056413584
0.1467,B,mrac.yaw.theta_3,0
0.1467,B,mrac.yaw.theta_4,0.057137311
0.1467,B,mrac.yaw.theta_5,0.087903537
0.1467,B,mrac.yaw.u_nom,-0.0238888
0.1467,B,mrac.yaw.xm,-0.066495433
0.1467,B,mrac.z.theta_0,0.003541287
0.1467,B,mrac.z.theta_1,0.005283413
0.1467,B,mrac.z.theta_2,0.00050748256
0.1467,B,mrac.z.theta_3,0
0.1467,B,mrac.z.theta_4,0.19762732
0.1467,B,mrac.z.theta_5,0.19461468
0.1467,B,mrac.z.u_nom,-0.63834703
0.1467,B,mrac.z.xm,-0.16522454
0.1467,B,path.active_path_mode,0
0.1467,B,path.circle_theta,0
0.1467,B,path.sinusoid_t_elapsed,0
0.1467,B,path.twc_arrived,0
0.1467,B,path.twc_target_x,0
0.1467,B,path.twc_target_y,0
0.1467,B,path.twc_target_z,0
0.1467,B,pid.gyrox.Des,4.0150809
0.1467,B,pid.gyrox.FB,-3.5768893
0.1467,B,pid.gyrox.U,85.635086
0.1467,B,pid.gyroy.Des,-10.677055
0.1467,B,pid.gyroy.FB,2.5973279
0.1467,B,pid.gyroy.U,-168.78159
0.1467,B,pid.gyroz.Des,-3.809906
0.1467,B,pid.gyroz.FB,1.5341914
0.1467,B,pid.gyroz.U,-44.719833
0.1467,B,pid.locx.Des,0
0.1467,B,pid.locx.FB,-2.2120402
0.1467,B,pid.locx.U,3.6181145
0.1467,B,pid.locxs.Des,3.6181145
0.1467,B,pid.locxs.FB,3.839154
0.1467,B,pid.locxs.U,-0.83016086
0.1467,B,pid.locy.Des,0
0.1467,B,pid.locy.FB,-26.36401
0.1467,B,pid.locy.U,23.25926
0.1467,B,pid.locys.Des,23.25926
0.1467,B,pid.locys.FB,-3.2032635
0.1467,B,pid.locys.U,79.719315
0.1467,B,pid.pitch.Des,-4.6368513
0.1467,B,pid.pitch.FB,-1.0194656
0.1467,B,pid.pitch.U,-10.677055
0.1467,B,pid.roll.Des,-0.28976491
0.1467,B,pid.roll.FB,-1.623723
0.1467,B,pid.roll.U,4.0150809
0.1467,B,pid.yaw.Des,-177.33118
0.1467,B,pid.yaw.FB,-177.02953
0.1467,B,pid.yaw.U,-3.809906
0.1467,B,pid.z_pos.Des,0.97768599
0.1467,B,pid.z_pos.FB,0.99944019
0.1467,B,pid.z_pos.U,-0.16522454
0.1467,B,pid.z_rate.Des,-0.16522454
0.1467,B,pid.z_rate.FB,0.15643308
0.1467,B,pid.z_rate.U,-141.71304
0.1467,B,status.vbat,0
0.3633,A,mrac.pitch.e,0.25177795
0.3633,A,mrac.pitch.u_ad,-0.035844319
0.3633,A,mrac.roll.e,-0.0276675
0.3633,A,mrac.roll.u_ad,0.15340863
0.3633,A,mrac.yaw.e,0.069573775
0.3633,A,mrac.yaw.u_ad,-0.0072974619
0.3633,A,mrac.z.e,0.067431301
0.3633,A,mrac.z.u_ad,-0.10575693
0.3633,A,status.arm,1
0.3633,A,status.flymode,1
0.3633,A,status.rc_authority,0
0.3633,A,status.sbus_lost,0
0.3633,A,status.twc_arrived,0
0.3633,A,status.twc_execute,0
0.3634,B,mrac.pitch.theta_0,3.2129873e-28
0.3634,B,mrac.pitch.theta_1,0.0029820504
0.3634,B,mrac.pitch.theta_2,0.0015531378
0.3634,B,mrac.pitch.theta_3,0.0018884352
0.3634,B,mrac.pitch.theta_4,0.13565922
0.3634,B,mrac.pitch.theta_5,0.14556363
0.3634,B,mrac.pitch.u_nom,-0.14425777
0.3634,B,mrac.pitch.xm,-0.18634985
0.3634,B,mrac.roll.theta_0,0.14672565
0.3634,B,mrac.roll.theta_1,0.00066205329
0.3634,B,mrac.roll.theta_2,0.0041113179
0.3634,B,mrac.roll.theta_3,0.001378459
0.3634,B,mrac.roll.theta_4,0.058234569
0.3634,B,mrac.roll.theta_5,0.075683668
0.3634,B,mrac.roll.u_nom,0.07319238
0.3634,B,mrac.roll.xm,0.070076413
0.3634,B,mrac.yaw.theta_0,1.6815582e-44
0.3634,B,mrac.yaw.theta_1,0.00236534
0.3634,B,mrac.yaw.theta_2,0.00056413584
0.3634,B,mrac.yaw.theta_3,0
0.3634,B,mrac.yaw.theta_4,0.057137311
0.3634,B,mrac.yaw.theta_5,0.087903537
0.3634,B,mrac.yaw.u_nom,-0.0238888
0.3634,B,mrac.yaw.xm,-0.066495433
0.3634,B,mrac.z.theta_0,0.003541287
0.3634,B,mrac.z.theta_1,0.005283413
0.3634,B,mrac.z.theta_2,0.00050748256
0.3634,B,mrac.z.theta_3,0
0.3634,B,mrac.z.theta_4,0.19762732
0.3634,B,mrac.z.theta_5,0.19461468
0.3634,B,mrac.z.u_nom,-0.63834703
0.3634,B,mrac.z.xm,-0.16522454
0.3634,B,path.active_path_mode,0
0.3634,B,path.circle_theta,0
0.3634,B,path.sinusoid_t_elapsed,0
0.3634,B,path.twc_arrived,0
0.3634,B,path.twc_target_x,0
0.3634,B,path.twc_target_y,0
0.3634,B,path.twc_target_z,0
0.3634,B,pid.gyrox.Des,4.0150809
0.3634,B,pid.gyrox.FB,-3.5768893
0.3634,B,pid.gyrox.U,85.635086
0.3634,B,pid.gyroy.Des,-10.677055
0.3634,B,pid.gyroy.FB,2.5973279
0.3634,B,pid.gyroy.U,-168.78159
0.3634,B,pid.gyroz.Des,-3.809906
0.3634,B,pid.gyroz.FB,1.5341914
0.3634,B,pid.gyroz.U,-44.719833
0.3634,B,pid.locx.Des,0
0.3634,B,pid.locx.FB,-2.2120402
0.3634,B,pid.locx.U,3.6181145
0.3634,B,pid.locxs.Des,3.6181145
0.3634,B,pid.locxs.FB,3.839154
0.3634,B,pid.locxs.U,-0.83016086
0.3634,B,pid.locy.Des,0
0.3634,B,pid.locy.FB,-26.36401
0.3634,B,pid.locy.U,23.25926
0.3634,B,pid.locys.Des,23.25926
0.3634,B,pid.locys.FB,-3.2032635
0.3634,B,pid.locys.U,79.719315
0.3634,B,pid.pitch.Des,-4.6368513
0.3634,B,pid.pitch.FB,-1.0194656
0.3634,B,pid.pitch.U,-10.677055
