t_s,frame,key,value
0.0028,ID,id.arm,1
0.0028,ID,id.axis,1
0.0028,ID,id.dither,0.00015459419
0.0028,ID,id.mode,1
0.0028,ID,id.roll.r,0.20447659
0.0028,ID,id.roll.u_ad,0.18075758
0.0028,ID,id.roll.u_nom,-0.10220569
0.0028,ID,id.roll.x,0.30418745
0.0028,ID,id.roll.xm,0.20447659
0.0028,ID,id.sample_counter,26495
0.0028,ID,id.sysid_state,3
0.0028,ID,id.vbat,0
0.0907,ID,id.arm,1
0.0907,ID,id.axis,1
0.0907,ID,id.dither,0
0.0907,ID,id.mode,1
0.0907,ID,id.roll.r,0.11190637
0.0907,ID,id.roll.u_ad,0.15835151
0.0907,ID,id.roll.u_nom,-0.061624382
0.0907,ID,id.roll.x,0.22921443
0.0907,ID,id.roll.xm,0.11190637
0.0907,ID,id.sample_counter,26497
0.0907,ID,id.sysid_state,1
0.0907,ID,id.vbat,0
0.0932,ID,id.arm,1
0.0932,ID,id.axis,1
0.0932,ID,id.dither,1.5073289e-05
0.0932,ID,id.mode,1
0.0932,ID,id.roll.r,0.10684858
0.0932,ID,id.roll.u_ad,0.15837216
0.0932,ID,id.roll.u_nom,0.025526693
0.0932,ID,id.roll.x,0.1617853
0.0932,ID,id.roll.xm,0.10684858
0.0932,ID,id.sample_counter,26498
0.0932,ID,id.sysid_state,1
0.0932,ID,id.vbat,0
0.0970,ID,id.arm,1
0.0970,ID,id.axis,1
0.0970,ID,id.dither,0.00012057144
0.0970,ID,id.mode,1
0.0970,ID,id.roll.r,0.10768364
0.0970,ID,id.roll.u_ad,0.15503071
0.0970,ID,id.roll.u_nom,-0.099358782
0.0970,ID,id.roll.x,0.29105324
0.0970,ID,id.roll.xm,0.10768364
0.0970,ID,id.sample_counter,26499
0.0970,ID,id.sysid_state,1
0.0970,ID,id.vbat,0
0.1010,ID,id.arm,1
0.1010,ID,id.axis,1
0.1010,ID,id.dither,0.00012057144
0.1010,ID,id.mode,1
0.1010,ID,id.roll.r,0.10768364
0.1010,ID,id.roll.u_ad,0.15503071
0.1010,ID,id.roll.u_nom,-0.099358782
0.1010,ID,id.roll.x,0.29105324
0.1010,ID,id.roll.xm,0.10768364
0.1010,ID,id.sample_counter,26500
0.1010,ID,id.sysid_state,1
0.1010,ID,id.vbat,0
0.1040,ID,id.arm,1
0.1040,ID,id.axis,1
0.1040,ID,id.dither,0.00040679579
0.1040,ID,id.mode,1
0.1040,ID,id.roll.r,0.096349165
0.1040,ID,id.roll.u_ad,0.15602541
0.1040,ID,id.roll.u_nom,0.056594968
0.1040,ID,id.roll.x,0.15303192
0.1040,ID,id.roll.xm,0.096349165
0.1040,ID,id.sample_counter,26501
0.1040,ID,id.sysid_state,1
0.1040,ID,id.vbat,0
0.1076,ID,id.arm,1
0.1076,ID,id.axis,1
0.1076,ID,id.dither,0.00096383347
0.1076,ID,id.mode,1
0.1076,ID,id.roll.r,0.10631892
0.1076,ID,id.roll.u_ad,0.15436685
0.1076,ID,id.roll.u_nom,-0.043219347
0.1076,ID,id.roll.x,0.2144267
0.1076,ID,id.roll.xm,0.10631892
0.1076,ID,id.sample_counter,26502
0.1076,ID,id.sysid_state,1
0.1076,ID,id.vbat,0
0.1112,ID,id.arm,1
0.1112,ID,id.axis,1
0.1112,ID,id.dither,0.0018817291
0.1112,ID,id.mode,1
0.1112,ID,id.roll.r,0.094218694
0.1112,ID,id.roll.u_ad,0.15340197
