t_s,frame,key,value
0.0163,ID,id.arm,1
0.0163,ID,id.axis,2
0.0163,ID,id.dither,0
0.0163,ID,id.mode,1
0.0163,ID,id.sample_counter,31710
0.0163,ID,id.sysid_state,4
0.0163,ID,id.vbat,0
0.0163,ID,id.yaw.r,-0.22638324
0.0163,ID,id.yaw.u_ad,-0.027183462
0.0163,ID,id.yaw.u_nom,-0.044854432
0.0163,ID,id.yaw.x,-0.047541972
0.0163,ID,id.yaw.xm,-0.22638324
0.0936,ID,id.arm,1
0.0936,ID,id.axis,2
0.0936,ID,id.dither,0
0.0936,ID,id.mode,1
0.0936,ID,id.sample_counter,31711
0.0936,ID,id.sysid_state,1
0.0936,ID,id.vbat,0
0.0936,ID,id.yaw.r,-0.2432438
0.0936,ID,id.yaw.u_ad,-0.028294958
0.0936,ID,id.yaw.u_nom,-0.043216493
0.0936,ID,id.yaw.x,-0.070914723
0.0936,ID,id.yaw.xm,-0.2432438
0.0982,ID,id.arm,1
0.0982,ID,id.axis,2
0.0982,ID,id.dither,-0.00027437916
0.0982,ID,id.mode,1
0.0982,ID,id.sample_counter,31712
0.0982,ID,id.sysid_state,1
0.0982,ID,id.vbat,0
0.0982,ID,id.yaw.r,-0.24164346
0.0982,ID,id.yaw.u_ad,-0.028229279
0.0982,ID,id.yaw.u_nom,-0.053920198
0.0982,ID,id.yaw.x,-0.02590134
0.0982,ID,id.yaw.xm,-0.24164346
0.1029,ID,id.arm,1
0.1029,ID,id.axis,2
0.1029,ID,id.dither,-0.0009906576
0.1029,ID,id.mode,1
0.1029,ID,id.sample_counter,31713
0.1029,ID,id.sysid_state,1
0.1029,ID,id.vbat,0
0.1029,ID,id.yaw.r,-0.24085061
0.1029,ID,id.yaw.u_ad,-0.028180772
0.1029,ID,id.yaw.u_nom,-0.056653667
0.1029,ID,id.yaw.x,-0.013864392
0.1029,ID,id.yaw.xm,-0.24085061
0.1079,ID,id.arm,1
0.1079,ID,id.axis,2
0.1079,ID,id.dither,-0.0019768272
0.1079,ID,id.mode,1
0.1079,ID,id.sample_counter,31714
0.1079,ID,id.sysid_state,1
0.1079,ID,id.vbat,0
0.1079,ID,id.yaw.r,-0.2408163
0.1079,ID,id.yaw.u_ad,-0.028182024
0.1079,ID,id.yaw.u_nom,-0.063325047
0.1079,ID,id.yaw.x,0.013376448
0.1079,ID,id.yaw.xm,-0.2408163
0.1131,ID,id.arm,1
0.1131,ID,id.axis,2
0.1131,ID,id.dither,-0.0030495657
0.1131,ID,id.mode,1
0.1131,ID,id.sample_counter,31715
0.1131,ID,id.sysid_state,1
0.1131,ID,id.vbat,0
0.1131,ID,id.yaw.r,-0.24081045
0.1131,ID,id.yaw.u_ad,-0.028138069
0.1131,ID,id.yaw.u_nom,-0.056701079
0.1131,ID,id.yaw.x,-0.013535193
0.1131,ID,id.yaw.xm,-0.24081045
0.1179,ID,id.arm,1
0.1179,ID,id.axis,2
0.1179,ID,id.dither,-0.0040197559
0.1179,ID,id.mode,1
0.1179,ID,id.sample_counter,31716
0.1179,ID,id.sysid_state,1
0.1179,ID,id.vbat,0
0.1179,ID,id.yaw.r,-0.2399717
0.1179,ID,id.yaw.u_ad,-0.028041758
0.1179,ID,id.yaw.u_nom,-0.049561623
0.1179,ID,id.yaw.x,-0.041848902
0.1179,ID,id.yaw.xm,-0.2399717
0.1228,ID,id.arm,1
0.1228,ID,id.axis,2
0.1228,ID,id.dither,-0.0046957778
0.1228,ID,id.mode,1
0.1228,ID,id.sample_counter,31717
0.1228,ID,id.sysid_state,1
0.1228,ID,id.vbat,0
0.1228,ID,id.yaw.r,-0.23819326
0.1228,ID,id.yaw.u_ad,-0.02790227
0.1228,ID,id.yaw.u_nom,-0.044375956
0.1228,ID,id.yaw.x,-0.061268967
0.1228,ID,id.yaw.xm,-0.23819326
0.1279,ID,id.arm,1
0.1279,ID,id.axis,2
0.1279,ID,id.dither,-0.0048907297
0.1279,ID,id.mode,1
0.1279,ID,id.sample_counter,31718
0.1279,ID,id.sysid_state,1
0.1279,ID,id.vbat,0
0.1279,ID,id.yaw.r,-0.23656335
0.1279,ID,id.yaw.u_ad,-0.027805032
0.1279,ID,id.yaw.u_nom,-0.050902046
0.1279,ID,id.yaw.x,-0.033105385
0.1279,ID,id.yaw.xm,-0.23656335
0.1336,A,mrac.pitch.e,0.17437111
0.1336,A,mrac.pitch.u_ad,-0.020457849
0.1336,A,mrac.roll.e,-0.069662973
0.1336,A,mrac.roll.u_ad,0.15413184
0.1336,A,mrac.yaw.e,0.19189471
0.1336,A,mrac.yaw.u_ad,-0.028686669
0.1336,A,mrac.z.e,0.13470255
0.1336,A,mrac.z.u_ad,-0.085743181
0.1336,A,status.arm,1
0.1336,A,status.flymode,1
0.1336,A,status.rc_authority,0
0.1336,A,status.sbus_lost,0
0.1336,A,status.twc_arrived,0
0.1336,A,status.twc_execute,0
0.1336,B,mrac.pitch.theta_0,3.222508e-06
0.1336,B,mrac.pitch.theta_1,0.0032103318
0.1336,B,mrac.pitch.theta_2,0.00066091411
0.1336,B,mrac.pitch.theta_3,0.0033383872
0.1336,B,mrac.pitch.theta_4,0.10984094
0.1336,B,mrac.pitch.theta_5,0.1420242
0.1336,B,mrac.pitch.u_nom,-0.0060661235
0.1336,B,mrac.pitch.xm,-0.12250862
0.1336,B,mrac.roll.theta_0,0.14699593
0.1336,B,mrac.roll.theta_1,0.0021725125
0.1336,B,mrac.roll.theta_2,0.0080626411
0.1336,B,mrac.roll.theta_3,0.0022800972
0.1336,B,mrac.roll.theta_4,0.090978622
0.1336,B,mrac.roll.theta_5,0.060806498
0.1336,B,mrac.roll.u_nom,-0.04367584
0.1336,B,mrac.roll.xm,0.08363077
0.1336,B,mrac.yaw.theta_0,4.4841551e-44
0.1336,B,mrac.yaw.theta_1,0.010352713
0.1336,B,mrac.yaw.theta_2,0.00043656336
0.1336,B,mrac.yaw.theta_3,0
0.1336,B,mrac.yaw.theta_4,0.1100316
0.1336,B,mrac.yaw.theta_5,0.088714406
0.1336,B,mrac.yaw.u_nom,-0.053984504
0.1336,B,mrac.yaw.xm,-0.24620301
0.1336,B,mrac.z.theta_0,0.0011678963
0.1336,B,mrac.z.theta_1,0.0043817963
0.1336,B,mrac.z.theta_2,0.00035810226
0.1336,B,mrac.z.theta_3,0
0.1336,B,mrac.z.theta_4,0.1968118
0.1336,B,mrac.z.theta_5,0.19250156
0.1336,B,mrac.z.u_nom,-0.30263612
0.1336,B,mrac.z.xm,-0.13422891
0.1336,B,path.active_path_mode,0
0.1336,B,path.circle_theta,0
0.1336,B,path.sinusoid_t_elapsed,0
0.1336,B,path.twc_arrived,0
0.1336,B,path.twc_target_x,0
0.1336,B,path.twc_target_y,0
0.1336,B,path.twc_target_z,0
0.1336,B,pid.gyrox.Des,4.791688
0.1336,B,pid.gyrox.FB,2.6299617
0.1336,B,pid.gyrox.U,-51.100731
0.1336,B,pid.gyroy.Des,-7.0192242
0.1336,B,pid.gyroy.FB,-4.437789
0.1336,B,pid.gyroy.U,-7.0973644
0.1336,B,pid.gyroz.Des,-14.106387
0.1336,B,pid.gyroz.FB,-1.7279541
0.1336,B,pid.gyroz.U,-101.05899
0.1336,B,pid.locx.Des,66.88179
0.1336,B,pid.locx.FB,67.640083
0.1336,B,pid.locx.U,1.182777
0.1336,B,pid.locxs.Des,1.182777
0.1336,B,pid.locxs.FB,2.98473
0.1336,B,pid.locxs.U,-5.6353374
0.1336,B,pid.locy.Des,-96.385719
0.1336,B,pid.locy.FB,-72.207176
0.1336,B,pid.locy.U,-21.393122
0.1336,B,pid.locys.Des,-21.393122
0.1336,B,pid.locys.FB,0.30230278
0.1336,B,pid.locys.U,-65.16272
0.1336,B,pid.pitch.Des,-3.7488675
0.1336,B,pid.pitch.FB,-1.3418984
0.1336,B,pid.pitch.U,-7.0192242
0.1336,B,pid.roll.Des,0.71097857
0.1336,B,pid.roll.FB,-0.81594819
0.1336,B,pid.roll.U,4.791688
0.1336,B,pid.yaw.Des,-7.8011093
0.1336,B,pid.yaw.FB,-5.7833781
0.1336,B,pid.yaw.U,-14.106387
0.1336,B,pid.z_pos.Des,0.92928129
0.1336,B,pid.z_pos.FB,0.91965443
0.1336,B,pid.z_pos.U,-0.13422891
0.1336,B,pid.z_rate.Des,-0.13422891
0.1336,B,pid.z_rate.FB,0.0011091294
