Day,TimeSlot,Chinese (original),English (translation)
Monday,08:00-09:40,,
Monday,10:00-11:40,,
Monday,14:00-15:40,,
Monday,16:00-17:40,算法设计与分析（留学生）·张栋 [10-17周] 310[7,8]节,Algorithm Design and Analysis (for international students) · Zhang Dong [Weeks 10-17] Room 310 [Periods 7-8] [?]
Monday,19:00-20:40,信息理论与编码·石砚 [8-12周] 学园2A栋1013[9,10]节[课程交流],Information Theory and Coding · Shi Yan [Weeks 8-12] Science Park Building 2A Room 1013 [Periods 9-10] [Course exchange]
Monday,20:50-22:30,信息理论与编码·石砚 [8-12周] 学园2A栋1013[11,12]节[课程交流],Information Theory and Coding · Shi Yan [Weeks 8-12] Science Park Building 2A Room 1013 [Periods 11-12] [Course exchange]
Tuesday,08:00-09:40,,
Tuesday,10:00-11:40,[考试]数值分析（留学生）·杨畅 [3,4]节,[Exam] Numerical Analysis (for international students) · Yang Chang [Periods 3-4] [?]
Tuesday,14:00-15:40,,
Tuesday,16:00-17:40,,
Tuesday,19:00-20:40,,
Tuesday,20:50-22:30,,
Wednesday,08:00-09:40,,
Wednesday,10:00-11:40,数字图像处理·龚大伟 [10-17周] 教室303[3,4]节,Digital Image Processing · Gong Dawei [Weeks 10-17] Room 303 [Periods 3-4]
Wednesday,14:00-15:40,,
Wednesday,16:00-17:40,数字图像处理·龚大伟 [10-17周] 教室303[7,8]节,Digital Image Processing · Gong Dawei [Weeks 10-17] Room 303 [Periods 7-8]
Wednesday,19:00-20:40,信息理论与编码·石砚 [8-12周] 学园2A栋1013[9,10]节[课堂交流],Information Theory and Coding · Shi Yan [Weeks 8-12] Science Park Building 2A Room 1013 [Periods 9-10] [Class exchange]
Wednesday,20:50-22:30,信息理论与编码·石砚 [8-12周] 学园2A栋1013[11,12]节[课堂交流],Information Theory and Coding · Shi Yan [Weeks 8-12] Science Park Building 2A Room 1013 [Periods 11-12] [Class exchange]
Thursday,08:00-09:40,,
Thursday,10:00-11:40,数值分析（留学生）·杨畅 [10-17周] 教室513[3,4]节,Numerical Analysis (for international students) · Yang Chang [Weeks 10-17] Room 513 [Periods 3-4] [?]
Thursday,14:00-15:40,数字信号处理·李卓明 [10-17周] 科学园2A栋1013[5,6]节,Digital Signal Processing · Li Zhuoming [Weeks 10-17] Science Park Building 2A Room 1013 [Periods 5-6]
Thursday,16:00-17:40,数字信号处理·李卓明 [10-17周] 科学园2A栋1013[7,8]节,Digital Signal Processing · Li Zhuoming [Weeks 10-17] Science Park Building 2A Room 1013 [Periods 7-8]
Thursday,19:00-20:40,,
Thursday,20:50-22:30,,
Friday,08:00-09:40,,
Friday,10:00-11:40,算法设计与分析（留学生）·张栋 [10-17周] 310[3,4]节,Algorithm Design and Analysis (for international students) · Zhang Dong [Weeks 10-17] Room 310 [Periods 3-4]
Friday,14:00-15:40,数字信号处理·李卓明 [10-17周] 学园2A栋1013[5,6]节,Digital Signal Processing · Li Zhuoming [Weeks 10-17] Science Park Building 2A Room 1013 [Periods 5-6]
Friday,16:00-17:40,,
Friday,19:00-20:40,,
Friday,20:50-22:30,,
Saturday,Morning 1-2,,
Saturday,Morning 3-4,,
Saturday,Afternoon 5-6,,
Saturday,Afternoon 7-8,,
Saturday,Evening 9-10,,
Saturday,Evening 11-12,,
Sunday,Morning 1-2,,
Sunday,Morning 3-4,,
Sunday,Afternoon 5-6,,
Sunday,Afternoon 7-8,,
Sunday,Evening 9-10,,
Sunday,Evening 11-12,,
